全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,37,愛媛県今治市,波方公園体育館,ナミカタコウエンタイイクカン,382027,154000,愛媛県今治市波方町樋口乙730,愛媛県,今治市,波方町樋口,乙730,,34.10199,132.94971,,,玄関ロビー,,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356990
382027,38,愛媛県今治市,桜井スポーツランド,サクライスポーツランド,382027,95000,愛媛県今治市桜井甲1054-3,愛媛県,今治市,桜井,甲1054-3,,34.00971,133.04862,,,管理事務所,,,7991524,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356989
382027,39,愛媛県今治市,今治市営球場,イマバリシエイキュウジョウ,382027,20005,愛媛県今治市大新田町五丁目111-7,愛媛県,今治市,大新田町五丁目,111-7,,34.07966,132.98947,,,玄関,,,7940005,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356988
382027,40,愛媛県今治市,桜井海浜ふれあい広場,サクライカイヒンフレアイヒロバ,382027,95000,愛媛県今治市桜井1130-2,愛媛県,今治市,桜井,1130-2,,34.00521,133.0511,,,クラブハウス,,,7991524,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356987
382027,41,愛媛県今治市,今治市中央体育館,イマバリシチュウオウタイイクカン,382027,179006,愛媛県今治市別宮町六丁目2-2,愛媛県,今治市,別宮町六丁目,2-2,,34.07251,132.99318,,,事務所前下駄箱台,,,7940026,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356986
382027,42,愛媛県今治市,朝倉B&G海洋センター(プール),アサクラB&Gカイヨウセンター(プール),382027,4000,愛媛県今治市朝倉下乙104-2,愛媛県,今治市,朝倉下,乙104-2,,34.00069,133.00705,,,玄関ロビー,,,7991603,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356985
382027,43,愛媛県今治市,しまなみドーム(上浦多々羅スポーツ公園運動場),シマナミドーム(カミウラタタラスポーツコウエンウンドウジョウ),382027,46000,愛媛県今治市上浦町井口7074-20,愛媛県,今治市,上浦町井口,7074-20,,34.26121,133.04708,,,正面玄関奥,,,7941402,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356984
382027,44,愛媛県今治市,大西体育館,オオニシタイイクカン,382027,24000,愛媛県今治市大西町新町797,愛媛県,今治市,大西町新町,797,,34.06454,132.92536,,,競技場入口,,,7992203,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356983
382027,45,愛媛県今治市,宮窪石文化運動公園,ミヤクボイシブンカウンドウコウエン,382027,198000,愛媛県今治市宮窪町宮窪3543,愛媛県,今治市,宮窪町宮窪,3543,,34.16124,133.07163,,,みやくぼ石文化交流館,,,7942203,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356982
382027,46,愛媛県今治市,大三島緑の村運動広場,オオミシマミドリノムラウンドウヒロバ,382027,35000,愛媛県今治市大三島町口総1269,愛媛県,今治市,大三島町口総,1269,,34.22071,132.96663,,,管理棟内,,,7941307,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356981
