No,ID,名前,場所,緯度,経度,URL,地区,年度
497,a5K7F000001YlTOUA0,福羅池,今治市伯方町木浦,34.20966667,133.1133889,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_05.pdf?1,伯方地区,令和4年
498,a5K7F000001YlTPUA0,長谷池,今治市伯方町木浦,34.21202778,133.1080556,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_06.pdf?1,伯方地区,令和4年
499,a5K7F000001YlTQUA0,大古江池,今治市伯方町木浦,34.21613889,133.1027222,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_07.pdf?1,伯方地区,令和4年
500,a5K7F000001YlTRUA0,大作池,今治市伯方町有津,34.20538889,133.1015,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_08.pdf?1,伯方地区,令和4年
501,a5K7F000001YlTSUA0,前田池,今治市伯方町有津,34.20830556,133.0975278,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_09.pdf?1,伯方地区,令和4年
502,a5K7F000001YlTTUA0,ナメラ池,今治市伯方町有津,34.21088889,133.09575,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_10.pdf?1,伯方地区,令和4年
503,a5K7F000001YlTUUA0,国道第2池,今治市伯方町有津,34.20908333,133.0917778,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_11.pdf?1,伯方地区,令和4年
504,a5K7F000001YlTVUA0,国道第1池,今治市伯方町有津,34.20805556,133.0929722,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_12.pdf?1,伯方地区,令和4年
505,a5K7F000001YlTWUA0,有久保池,今治市伯方町有津,34.20616667,133.092,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_13.pdf?1,伯方地区,令和4年
506,a5K7F000001YlTXUA0,叶浦越池,今治市伯方町有津,34.20591667,133.0893611,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_14.pdf?1,伯方地区,令和4年
507,a5K7F000001YlTYUA0,平尾池,今治市伯方町有津,34.20383333,133.0919167,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_15.pdf?1,伯方地区,令和4年
508,a5K7F000001YlTZUA0,西側第2池,今治市伯方町叶浦,34.21222222,133.0738611,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_16.pdf?1,伯方地区,令和4年
509,a5K7F000001YlTaUAK,西側第1池,今治市伯方町叶浦,34.21022222,133.0757778,https://www.city.imabari.ehime.jp/noudo/hazardmap/hakata/hakata_R4_17.pdf?1,伯方地区,令和4年
