名称,テーマ,分類,所在地,リンク,緯度,経度
南鳥生,市営住宅,公共施設,今治市南鳥生町1丁目5番3号,https://www.city.imabari.ehime.jp/jutaku/,34.05538785,133.0121154
吉海下田水,市営住宅,公共施設,今治市吉海町名4694番地3,https://www.city.imabari.ehime.jp/jutaku/,34.12698951,133.0241501
吉海八幡中,市営住宅,公共施設,今治市吉海町八幡88番地,https://www.city.imabari.ehime.jp/jutaku/,34.14660524,133.0438226
吉海八幡南,市営住宅,公共施設,今治市吉海町八幡甲111番地,https://www.city.imabari.ehime.jp/jutaku/,34.14645748,133.0436552
吉海八幡岡,市営住宅,公共施設,今治市吉海町八幡478番地1,https://www.city.imabari.ehime.jp/jutaku/,34.14331624,133.0430709
吉海志津見,市営住宅,公共施設,今治市吉海町仁江2158番地,https://www.city.imabari.ehime.jp/jutaku/,34.13508746,133.0618052
吉海本庄,市営住宅,公共施設,今治市吉海町本庄1997番地,https://www.city.imabari.ehime.jp/jutaku/,34.14107048,133.0358383
吉海本庄中浜,市営住宅,公共施設,今治市吉海町本庄954番地3,https://www.city.imabari.ehime.jp/jutaku/,34.14779531,133.0333104
吉海椋名,市営住宅,公共施設,今治市吉海町椋名150番地,https://www.city.imabari.ehime.jp/jutaku/,34.14045544,133.0176264
吉海椋名中,市営住宅,公共施設,今治市吉海町椋名371番地,https://www.city.imabari.ehime.jp/jutaku/,34.13819094,133.0209925
吉海泊,市営住宅,公共施設,今治市吉海町泊498番地,https://www.city.imabari.ehime.jp/jutaku/,34.17311506,133.0319245
吉海瀬賀居,市営住宅,公共施設,今治市吉海町名3030番地,https://www.city.imabari.ehime.jp/jutaku/,34.13234427,133.0384977
吉海福田C,市営住宅,公共施設,今治市吉海町福田5番地1,https://www.city.imabari.ehime.jp/jutaku/,34.16170881,133.0388008
吉海福田仲,市営住宅,公共施設,今治市吉海町福田1364番地,https://www.city.imabari.ehime.jp/jutaku/,34.15461197,133.0448169
唐子台,市営住宅,公共施設,今治市唐子台西3丁目10番地1,https://www.city.imabari.ehime.jp/jutaku/,34.02973114,133.0253438
四村,市営住宅,公共施設,今治市四村14番地1,https://www.city.imabari.ehime.jp/jutaku/,34.03185263,132.9906892
地堀,市営住宅,公共施設,今治市地堀4丁目7番1号,https://www.city.imabari.ehime.jp/jutaku/,34.10538657,132.9625589
大三島上条,市営住宅,公共施設,今治市大三島町宮浦3267番地1,https://www.city.imabari.ehime.jp/jutaku/,34.24925861,133.0060609
大三島会所下,市営住宅,公共施設,今治市大三島町宮浦5660番地,https://www.city.imabari.ehime.jp/jutaku/,34.24868024,132.9968793
大三島台ダム住宅,市営住宅,公共施設,今治市大三島町宮浦5241番地1,https://www.city.imabari.ehime.jp/jutaku/,34.24479381,132.9966772
大三島宗方,市営住宅,公共施設,今治市大三島町宗方3620番地,https://www.city.imabari.ehime.jp/jutaku/,34.20191572,132.9519773
大三島宮浦,市営住宅,公共施設,今治市大三島町宮浦5611番地,https://www.city.imabari.ehime.jp/jutaku/,34.24868554,132.9993415
大三島旧法務局住宅,市営住宅,公共施設,今治市大三島町宮浦5703番地,https://www.city.imabari.ehime.jp/jutaku/,34.24861833,132.9964911
大三島浦戸,市営住宅,公共施設,今治市大三島町浦戸180番地1,https://www.city.imabari.ehime.jp/jutaku/,34.21850679,132.9638505
大三島砂塚,市営住宅,公共施設,今治市大三島町野々江431番地,https://www.city.imabari.ehime.jp/jutaku/,34.21964419,132.9866211
大三島肥海,市営住宅,公共施設,今治市大三島町肥海1167番地3,https://www.city.imabari.ehime.jp/jutaku/,34.27299095,132.9892842
大三島野々江,市営住宅,公共施設,今治市大三島町野々江2436番地10,https://www.city.imabari.ehime.jp/jutaku/,34.22089875,132.9904528
大新田,市営住宅,公共施設,今治市大新田町3丁目5番58号,https://www.city.imabari.ehime.jp/jutaku/,34.08053117,132.9937419
大西金光,市営住宅,公共施設,今治市大西町新町甲570番地,https://www.city.imabari.ehime.jp/jutaku/,34.06937164,132.9313918
大西鳥越,市営住宅,公共施設,今治市大西町新町甲1037,https://www.city.imabari.ehime.jp/jutaku/,34.06988374,132.9292705
宮窪,市営住宅,公共施設,今治市宮窪町宮窪1360番地1,https://www.city.imabari.ehime.jp/jutaku/,34.16887121,133.0858294
宮窪仲側,市営住宅,公共施設,今治市宮窪町余所国807番地1,https://www.city.imabari.ehime.jp/jutaku/,34.18707708,133.0619832
宮窪余所国,市営住宅,公共施設,今治市宮窪町余所国1782番地,https://www.city.imabari.ehime.jp/jutaku/,34.19122116,133.0566468
宮窪余所国第２,市営住宅,公共施設,今治市宮窪町余所国1383番地,https://www.city.imabari.ehime.jp/jutaku/,34.19181991,133.0571239
小泉,市営住宅,公共施設,今治市小泉4丁目3番1号,https://www.city.imabari.ehime.jp/jutaku/,34.04832191,132.9820329
朝倉上,市営住宅,公共施設,今治市朝倉上甲2442番地101,https://www.city.imabari.ehime.jp/jutaku/,33.97445221,133.0212249
朝倉上第２,市営住宅,公共施設,今治市朝倉上甲798番地20,https://www.city.imabari.ehime.jp/jutaku/,33.976911,133.0072474
朝倉上第３,市営住宅,公共施設,今治市朝倉上甲2092番地22,https://www.city.imabari.ehime.jp/jutaku/,33.97960089,133.0200503
朝倉下,市営住宅,公共施設,今治市朝倉下甲1081番地6,https://www.city.imabari.ehime.jp/jutaku/,34.00654747,133.0110231
朝倉下第２,市営住宅,公共施設,今治市朝倉下甲1415番地1,https://www.city.imabari.ehime.jp/jutaku/,34.00925227,133.012811
朝倉北,市営住宅,公共施設,今治市朝倉北甲381番地4,https://www.city.imabari.ehime.jp/jutaku/,33.99525395,133.0223448
朝倉南,市営住宅,公共施設,今治市朝倉南乙205番地3,https://www.city.imabari.ehime.jp/jutaku/,33.9940166,133.0292756
朝倉南第２,市営住宅,公共施設,今治市朝倉南甲221番地3,https://www.city.imabari.ehime.jp/jutaku/,33.99247115,133.0213749
朝倉立丁特定住宅,市営住宅,公共施設,今治市朝倉北甲293番地5,https://www.city.imabari.ehime.jp/jutaku/,33.99794458,133.0178275
本町,市営住宅,公共施設,今治市本町7丁目2番12号,https://www.city.imabari.ehime.jp/jutaku/,34.07712175,132.9945021
東門,市営住宅,公共施設,今治市東門町6丁目2番19号,https://www.city.imabari.ehime.jp/jutaku/,34.06002729,133.0159424
東鳥生,市営住宅,公共施設,今治市東鳥生町1丁目2番22号,https://www.city.imabari.ehime.jp/jutaku/,34.05836074,133.0180208
松木,市営住宅,公共施設,今治市松木6番地2,https://www.city.imabari.ehime.jp/jutaku/,34.0322401,133.0064885
桜井団地第１,市営住宅,公共施設,今治市桜井団地5丁目1番地1,https://www.city.imabari.ehime.jp/jutaku/,34.02484051,133.0142257
桜井団地第２,市営住宅,公共施設,今治市桜井団地1丁目2番地2,https://www.city.imabari.ehime.jp/jutaku/,34.0282538,133.016808
桜井浜第１,市営住宅,公共施設,今治市桜井1丁目5番4号,https://www.city.imabari.ehime.jp/jutaku/,34.02492863,133.0403637
桜井浜第１団地引揚者住宅,市営住宅,公共施設,今治市桜井1丁目5番4号,https://www.city.imabari.ehime.jp/jutaku/,34.02492863,133.0403637
桜井浜第２,市営住宅,公共施設,今治市桜井4丁目6番16号,https://www.city.imabari.ehime.jp/jutaku/,34.01732364,133.0403564
泉川,市営住宅,公共施設,今治市泉川町1丁目2番58号,https://www.city.imabari.ehime.jp/jutaku/,34.05735134,132.9962836
波方宮脇,市営住宅,公共施設,今治市波方町樋口甲1930番地24,https://www.city.imabari.ehime.jp/jutaku/,34.10312024,132.9530205
波方小部,市営住宅,公共施設,今治市波方町小部甲489番地1,https://www.city.imabari.ehime.jp/jutaku/,34.10409217,132.9307987
波方岡北,市営住宅,公共施設,今治市波方町岡甲337番地9,https://www.city.imabari.ehime.jp/jutaku/,34.11114043,132.925801
波方平松,市営住宅,公共施設,今治市波方町養老乙74番地11,https://www.city.imabari.ehime.jp/jutaku/,34.10144128,132.9462743
波方平石,市営住宅,公共施設,今治市波方町樋口甲1639番地,https://www.city.imabari.ehime.jp/jutaku/,34.10130076,132.9540586
波方海山,市営住宅,公共施設,今治市波方町波方乙510番地5,https://www.city.imabari.ehime.jp/jutaku/,34.11189764,132.9555488
波方西浦,市営住宅,公共施設,今治市波方町西浦甲3224番地1,https://www.city.imabari.ehime.jp/jutaku/,34.12914956,132.9393453
波方郷,市営住宅,公共施設,今治市波方町郷乙415番地49,https://www.city.imabari.ehime.jp/jutaku/,34.11037325,132.9603139
波方郷１,市営住宅,公共施設,今治市波方町郷甲1325番地1,https://www.city.imabari.ehime.jp/jutaku/,34.10999228,132.9602406
波方郷２,市営住宅,公共施設,今治市波方町郷甲1325番地1,https://www.city.imabari.ehime.jp/jutaku/,34.10975661,132.9600368
玉川ウワナル,市営住宅,公共施設,今治市玉川町三反地甲121番地1,https://www.city.imabari.ehime.jp/jutaku/,34.01558105,132.9384268
玉川ウワナル第２,市営住宅,公共施設,今治市玉川町三反地甲145番地2,https://www.city.imabari.ehime.jp/jutaku/,34.01587749,132.9383257
玉川三反地,市営住宅,公共施設,今治市玉川町三反地甲217番地59,https://www.city.imabari.ehime.jp/jutaku/,34.01855272,132.9374767
玉川三反地ハサマ,市営住宅,公共施設,今治市玉川町三反地甲217番地21,https://www.city.imabari.ehime.jp/jutaku/,34.01925493,132.9395782
玉川中村,市営住宅,公共施設,今治市玉川町中村甲297番地1,https://www.city.imabari.ehime.jp/jutaku/,34.02057016,132.950886
玉川大野,市営住宅,公共施設,今治市玉川町大野甲36番地2,https://www.city.imabari.ehime.jp/jutaku/,34.02392064,132.9448481
玉川山崎,市営住宅,公共施設,今治市玉川町摺木甲10番地3,https://www.city.imabari.ehime.jp/jutaku/,34.01968691,132.9382983
玉川川原,市営住宅,公共施設,今治市玉川町摺木甲37番地1,https://www.city.imabari.ehime.jp/jutaku/,34.02001567,132.9389386
玉川摺木,市営住宅,公共施設,今治市玉川町摺木甲63番地,https://www.city.imabari.ehime.jp/jutaku/,34.02083348,132.9393276
玉川日之浦,市営住宅,公共施設,今治市玉川町鈍川丙71番地1,https://www.city.imabari.ehime.jp/jutaku/,33.98499578,132.9563861
玉川法界寺,市営住宅,公共施設,今治市玉川町法界寺乙13番地6,https://www.city.imabari.ehime.jp/jutaku/,34.02931477,132.9599378
玉川竹ノハナ,市営住宅,公共施設,今治市玉川町龍岡上甲10番地1,https://www.city.imabari.ehime.jp/jutaku/,33.99201028,132.9135115
玉川竹ノハナ第２,市営住宅,公共施設,今治市玉川町龍岡上甲8番地1,https://www.city.imabari.ehime.jp/jutaku/,33.992008,132.9136374
町谷,市営住宅,公共施設,今治市町谷甲378番地,https://www.city.imabari.ehime.jp/jutaku/,34.02248003,133.0008981
石井,市営住宅,公共施設,今治市石井町2丁目7番54号,https://www.city.imabari.ehime.jp/jutaku/,34.08166988,132.9887967
美須賀コーポ,市営住宅,公共施設,今治市室屋町1丁目2番5,https://www.city.imabari.ehime.jp/jutaku/,34.0680071,133.0018663
菊間北浜２,市営住宅,公共施設,今治市菊間町浜1310番地,https://www.city.imabari.ehime.jp/jutaku/,34.04142105,132.843093
菊間北浜５,市営住宅,公共施設,今治市菊間町浜1272番地,https://www.city.imabari.ehime.jp/jutaku/,34.03961555,132.8428286
菊間北浜６,市営住宅,公共施設,今治市菊間町浜1272番地,https://www.city.imabari.ehime.jp/jutaku/,34.03959049,132.8428297
菊間北浜７,市営住宅,公共施設,今治市菊間町浜1303番地,https://www.city.imabari.ehime.jp/jutaku/,34.04145768,132.8435194
菊間城ノ上,市営住宅,公共施設,今治市菊間町種198番地1,https://www.city.imabari.ehime.jp/jutaku/,34.05014796,132.8720845
菊間太宮,市営住宅,公共施設,今治市菊間町浜1366番地1,https://www.city.imabari.ehime.jp/jutaku/,34.04267272,132.8462204
菊間恵比須,市営住宅,公共施設,今治市菊間町種4436番地,https://www.city.imabari.ehime.jp/jutaku/,34.04663269,132.8620423
菊間日之出,市営住宅,公共施設,今治市菊間町浜1239番地1,https://www.city.imabari.ehime.jp/jutaku/,34.04110164,132.846821
菊間日之出３,市営住宅,公共施設,今治市菊間町浜1245番地,https://www.city.imabari.ehime.jp/jutaku/,34.04104686,132.8460978
菊間葉山,市営住宅,公共施設,今治市菊間町池原3158番地,https://www.city.imabari.ehime.jp/jutaku/,34.04369012,132.8587754
菊間西町,市営住宅,公共施設,今治市菊間町浜189番地,https://www.city.imabari.ehime.jp/jutaku/,34.03538101,132.8385201
菊間近代１,市営住宅,公共施設,今治市菊間町長坂1205番地,https://www.city.imabari.ehime.jp/jutaku/,34.02934736,132.8394423
菊間近代２,市営住宅,公共施設,今治市菊間町長坂1205番地,https://www.city.imabari.ehime.jp/jutaku/,34.02982987,132.8391191
菊間霜ノ下,市営住宅,公共施設,今治市菊間町佐方1030番地,https://www.city.imabari.ehime.jp/jutaku/,34.05393479,132.878196
近見,市営住宅,公共施設,今治市近見町2丁目4番17号,https://www.city.imabari.ehime.jp/jutaku/,34.08664151,132.9850531
郷本町,市営住宅,公共施設,今治市郷本町1丁目3番36号,https://www.city.imabari.ehime.jp/jutaku/,34.04755992,132.9965627
関前城ノ谷,市営住宅,公共施設,今治市関前岡村甲2627番地4,https://www.city.imabari.ehime.jp/jutaku/,34.1844276,132.887383
関前城ノ谷引揚者住宅,市営住宅,公共施設,今治市関前岡村甲2627番地4,https://www.city.imabari.ehime.jp/jutaku/,34.18462057,132.8874442
関前大下,市営住宅,公共施設,今治市関前大下甲1930番地32,https://www.city.imabari.ehime.jp/jutaku/,34.18994335,132.9225185
関前小大下引揚者住宅,市営住宅,公共施設,今治市関前小大下乙1352番地5,https://www.city.imabari.ehime.jp/jutaku/,34.19033366,132.9004923
関前岡引揚者住宅,市営住宅,公共施設,今治市関前岡村甲424番地2,https://www.city.imabari.ehime.jp/jutaku/,34.18812567,132.8831342
関前白潟特定公共賃貸住宅,市営住宅,公共施設,今治市関前岡村甲1506番地,https://www.city.imabari.ehime.jp/jutaku/,34.1862905,132.8714947
阿方第１,市営住宅,公共施設,今治市阿方甲163番地1,https://www.city.imabari.ehime.jp/jutaku/,34.0627456,132.9722173
阿方第２,市営住宅,公共施設,今治市阿方甲525番地1,https://www.city.imabari.ehime.jp/jutaku/,34.06297672,132.9630669
高部,市営住宅,公共施設,今治市高部甲1628番地,https://www.city.imabari.ehime.jp/jutaku/,34.09792629,132.9574581
鯉池東,市営住宅,公共施設,今治市鯉池町2丁目1番37号,https://www.city.imabari.ehime.jp/jutaku/,34.05292256,132.9892625
鯉池西,市営住宅,公共施設,今治市鯉池町1丁目3番16号,https://www.city.imabari.ehime.jp/jutaku/,34.05186746,132.9872377
黄金,市営住宅,公共施設,今治市黄金町4丁目5番地4,https://www.city.imabari.ehime.jp/jutaku/,34.06033704,133.0077799
今治市南宝来駐車場,市営駐車場・駐輪場,公共施設,今治市南宝来町1丁目6番地1,https://www.city.imabari.ehime.jp/soumuk/parking/minamihourai.html,34.06198653,132.9994339
今治市風早駐車場,市営駐車場・駐輪場,公共施設,今治市風早町1丁目2番地5,https://www.city.imabari.ehime.jp/youchikanri/map.html,34.06911698,133.0034964
今治市駅前広場駐車場,市営駐車場・駐輪場,公共施設,今治市北宝来町1丁目100番地,https://www.city.imabari.ehime.jp/youchikanri/map.html,34.06432001,132.9944247
今治港沖洲駐車場,市営駐車場・駐輪場,公共施設,今治市片原町1丁目3番地1,https://www.city.imabari.ehime.jp/kanko/access/parking.html,34.06913457,133.0055103
今治駅北高架下自転車駐車場,市営駐車場・駐輪場,公共施設,今治市北宝来町2丁目甲774番地2,https://www.city.imabari.ehime.jp/cyclecity/jitensha_parking/,34.06515891,132.9927747
今治駅南高架下自転車駐車場,市営駐車場・駐輪場,公共施設,今治市北宝来町1丁目甲726番地2,https://www.city.imabari.ehime.jp/cyclecity/jitensha_parking/,34.06328418,132.9945376
今治駅東第１駐車場,市営駐車場・駐輪場,公共施設,今治市北宝来町1丁目729番地18,https://www.city.imabari.ehime.jp/youchikanri/map.html,34.06387085,132.9943414
上浦支所,市役所・支所,公共施設,今治市上浦町井口6605,https://www.city.imabari.ehime.jp/sisho/,34.26346511,133.0402163
今治市役所,市役所・支所,公共施設,今治市別宮町1丁目4番地1,https://www.city.imabari.ehime.jp/,34.06617211,132.9977996
伯方支所,市役所・支所,公共施設,今治市伯方町木浦甲1235,https://www.city.imabari.ehime.jp/sisho/,34.20300003,133.07464
吉海支所,市役所・支所,公共施設,今治市吉海町八幡137,https://www.city.imabari.ehime.jp/sisho/,34.14533799,133.0430048
大三島支所,市役所・支所,公共施設,今治市大三島町宮浦5708,https://www.city.imabari.ehime.jp/sisho/,34.24906325,132.995832
大下地区住民センター,市役所・支所,公共施設,今治市関前大下甲65番地1,https://www.city.imabari.ehime.jp/siminsankaku/siminseikatu/004.html,34.18846776,132.9229438
大西支所,市役所・支所,公共施設,今治市大西町宮脇甲506-1,https://www.city.imabari.ehime.jp/sisho/,34.0602713,132.9253641
宮窪支所,市役所・支所,公共施設,今治市宮窪町宮窪2668,https://www.city.imabari.ehime.jp/sisho/,34.17294103,133.0757094
小大下地区住民センター,市役所・支所,公共施設,今治市関前小大下乙1352番地第2,https://www.city.imabari.ehime.jp/siminsankaku/siminseikatu/004.html,34.19035968,132.9002463
朝倉支所,市役所・支所,公共施設,今治市朝倉北甲397番地1,https://www.city.imabari.ehime.jp/sisho/,33.99604189,133.021934
波方支所,市役所・支所,公共施設,今治市波方町樋口甲250,https://www.city.imabari.ehime.jp/sisho/,34.09756652,132.9518049
玉川支所,市役所・支所,公共施設,今治市玉川町三反地甲10番地1,https://www.city.imabari.ehime.jp/sisho/,34.0191687,132.9417114
菊間支所,市役所・支所,公共施設,今治市菊間町浜840,https://www.city.imabari.ehime.jp/sisho/,34.0340757,132.8421363
関前支所,市役所・支所,公共施設,今治市関前岡村甲732,https://www.city.imabari.ehime.jp/sisho/,34.18397351,132.8827135
今治市公会堂,文化ホール等,公共施設,今治市別宮町1丁目4番地1,https://www.city.imabari.ehime.jp/soumuk/kokaido/,34.06666454,132.9978156
今治市民会館,文化ホール等,公共施設,今治市別宮町1丁目4番地1,https://www.city.imabari.ehime.jp/soumuk/siminkaikan/,34.06614149,132.9983587
今治市中央消防署,消防署,公共施設,今治市南宝来町2丁目1番地1,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.06104368,133.0008187
今治市中央消防署東分署,消防署,公共施設,今治市旦264番地1,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.01878087,133.0251593
今治市北消防署,消防署,公共施設,今治市伯方町叶浦甲1667番地4,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.20435008,133.0741269
今治市北消防署大三島分署,消防署,公共施設,今治市上浦町井口5286番地,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.26863949,133.0405271
今治市北消防署大島分署,消防署,公共施設,今治市宮窪町宮窪4764番地5,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.17127283,133.0717165
今治市西消防署,消防署,公共施設,今治市クリエイティブヒルズ3番地,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.04798796,132.9653112
今治市西消防署波方分署,消防署,公共施設,今治市波方町樋口甲1551番地1,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.09799118,132.9476407
今治市西消防署菊間分署,消防署,公共施設,今治市菊間町浜1500番地17,https://www.city.imabari.ehime.jp/shoubou/shobousho/,34.04422571,132.8500625
今治市多目的温泉保養館(クアハウス今治),温泉保養施設,観光情報,今治市湯ノ浦36番地,http://www.k-ispa.server-shared.com/,33.99413116,133.053402
今治市大三島海洋温浴館及び農村交流館　(マーレ・グラッシア大三島),温泉保養施設,観光情報,今治市大三島町宮浦5902番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=227,34.24167769,132.9938917
今治市鈍川せせらぎ交流館,温泉保養施設,観光情報,今治市玉川町鈍川甲218番地1,https://seseragi-onsen.com/,33.98477484,132.9403678
なみかた海の交流センター,産業振興施設,公共施設,今治市波方町波方2264番地38,https://www.city.imabari.ehime.jp/sangyou/namikata/,34.1213636,132.9566267
今治市産業振興センター,産業振興施設,公共施設,今治市菊間町種147番地2,https://www.city.imabari.ehime.jp/map/map/789-kikusan.html,34.05275693,132.8720545
旧今治コンピュータカレッジ,産業振興施設,公共施設,今治市東門町5丁目840番4,https://www.city.imabari.ehime.jp/sangyou/c_collage/,34.06153749,133.017
仙遊寺（四国霊場58番札所）,神社仏閣,観光情報,今治市玉川町別所甲483,https://www.city.imabari.ehime.jp/kanko/spot/?a=157,34.01347907,132.9773577
加茂神社,神社仏閣,観光情報,今治市菊間町浜1989,https://www.city.imabari.ehime.jp/kanko/spot/?a=174,34.03572675,132.8529011
南光坊（四国霊場55番札所）,神社仏閣,観光情報,今治市別宮町3丁目1,https://www.city.imabari.ehime.jp/kanko/spot/?a=111,34.06824001,132.9953322
喜多浦八幡神社,神社仏閣,観光情報,今治市伯方町北浦甲1463,https://www.city.imabari.ehime.jp/kanko/spot/?a=207,34.22885043,133.0936816
国分寺（四国霊場59番札所）,神社仏閣,観光情報,今治市国分4丁目1-33,https://www.city.imabari.ehime.jp/kanko/spot/?a=130,34.02614973,133.0254001
大山祇神社,神社仏閣,観光情報,今治市大三島町宮浦3327,https://www.city.imabari.ehime.jp/kanko/spot/?a=226,34.24790064,133.0058321
姫子島神社,神社仏閣,観光情報,今治市関前岡村,https://www.city.imabari.ehime.jp/kanko/spot/?a=256,34.18240639,132.88214
延命寺（四国霊場54番札所）,神社仏閣,観光情報,今治市阿方甲636,https://www.city.imabari.ehime.jp/kanko/spot/?a=110,34.06679407,132.9640148
救世観音堂,神社仏閣,観光情報,今治市関前岡村,https://www.city.imabari.ehime.jp/kanko/spot/?a=254,34.17512259,132.8808755
栄福寺（四国霊場57番札所）,神社仏閣,観光情報,今治市玉川町八幡甲200,https://www.city.imabari.ehime.jp/kanko/spot/?a=156,34.0296919,132.9782701
泰山寺（四国霊場56番札所）,神社仏閣,観光情報,今治市小泉1丁目9-18,https://www.city.imabari.ehime.jp/kanko/spot/?a=112,34.05037958,132.974795
禅興寺,神社仏閣,観光情報,今治市伯方町木浦甲3645,https://www.city.imabari.ehime.jp/kanko/spot/?a=204,34.20472033,133.1091346
綱敷天満神社,神社仏閣,観光情報,今治市桜井6丁目2-1,https://www.city.imabari.ehime.jp/kanko/spot/?a=128,34.01964626,133.0424808
遍照院,神社仏閣,観光情報,今治市菊間町浜89,https://www.city.imabari.ehime.jp/kanko/spot/?a=173,34.03325962,132.8380623
高龍寺,神社仏閣,観光情報,今治市吉海町名2916-2,https://www.city.imabari.ehime.jp/kanko/spot/?a=183,34.12942513,133.0377401
かわら館,美術館・博物館,文化施設,今治市菊間町浜3067,https://www.city.imabari.ehime.jp/kanko/spot/?a=170,34.03237278,132.8409088
ところミュージアム大三島,美術館・博物館,文化施設,今治市大三島町浦戸2362番地3,https://www.city.imabari.ehime.jp/museum/,34.21508713,132.9519821
今治城,美術館・博物館,文化施設,今治市通町3丁目1番地3,https://www.city.imabari.ehime.jp/museum/,34.0633386,133.0067804
今治市上浦歴史民俗資料館　(村上三島記念館),美術館・博物館,文化施設,今治市上浦町井口7505番地,https://www.city.imabari.ehime.jp/museum/,34.25581481,133.0535086
今治市伊東豊雄建築ミュージアム,美術館・博物館,文化施設,今治市大三島町浦戸2418番地,https://www.city.imabari.ehime.jp/museum/,34.21392916,132.9503916
今治市大三島美術館,美術館・博物館,文化施設,今治市大三島町宮浦9099番地1,https://www.city.imabari.ehime.jp/museum/,34.2490789,133.0032442
今治市大西藤山歴史資料館,美術館・博物館,文化施設,今治市大西町宮脇乙579番地1,https://www.city.imabari.ehime.jp/museum/,34.05996029,132.9291654
今治市岩田健母と子のミュージアム,美術館・博物館,文化施設,今治市大三島町宗方5208番地2,https://www.city.imabari.ehime.jp/museum/,34.19446378,132.9540896
今治市朝倉ふるさと美術古墳館,美術館・博物館,文化施設,今治市朝倉下甲898番地,https://www.city.imabari.ehime.jp/museum/,33.99952743,133.0077372
今治市村上海賊ミュージアム,美術館・博物館,文化施設,今治市宮窪町宮窪1285番地,https://www.city.imabari.ehime.jp/museum/,34.16886867,133.0876193
今治市河野美術館,美術館・博物館,文化施設,今治市旭町1丁目4番地8,https://www.city.imabari.ehime.jp/museum/,34.0627616,132.9988728
今治市玉川近代美術館　(徳生記念館),美術館・博物館,文化施設,今治市玉川町大野甲86番地4,https://www.city.imabari.ehime.jp/museum/,34.0219484,132.9445724
今治市野間仁根バラのミュージアム（吉海郷土文化センター）,美術館・博物館,文化施設,今治市吉海町福田1290番地,https://www.city.imabari.ehime.jp/museum/,34.15502435,133.0426796
公益財団法人 愛媛文華館,美術館・博物館,文化施設,今治市黄金町2丁目6-2,https://www.city.imabari.ehime.jp/kanko/spot/?a=109,34.06440007,133.005103
大三島海事博物館（葉山丸記念館）,美術館・博物館,文化施設,今治市大三島町宮浦3327,https://www.city.imabari.ehime.jp/kanko/spot/?a=242,34.24776287,133.0045131
大山祇神社宝物館,美術館・博物館,文化施設,今治市大三島町宮浦3327,https://www.city.imabari.ehime.jp/kanko/spot/?a=228,34.2473746,133.0047879
しまなみ来島海峡遊覧船,自然景観,観光情報 / スポーツ・レクリエーション,今治市吉海町名4520-2,https://www.city.imabari.ehime.jp/kanko/spot/?a=181,34.12744096,133.0220204
ひょうたん島,自然景観,観光情報 / スポーツ・レクリエーション,今治市上浦町井口9179,https://www.city.imabari.ehime.jp/kanko/spot/?a=209,34.28429937,133.0501653
世田山,自然景観,観光情報 / スポーツ・レクリエーション,今治市朝倉上,https://www.city.imabari.ehime.jp/kanko/spot/?a=133,33.97769827,133.0414139
今治市玉川ふれあいの森　森林館,自然景観,観光情報 / スポーツ・レクリエーション,今治市玉川町鈍川庚730番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=147,33.97498279,132.9393484
入日の滝,自然景観,観光情報 / スポーツ・レクリエーション,今治市大三島町台,https://www.city.imabari.ehime.jp/kanko/spot/?a=232,34.23806502,133.0123176
別名の大楠,自然景観,観光情報 / スポーツ・レクリエーション,今治市別名526付近,https://www.city.imabari.ehime.jp/kanko/spot/?a=300,34.04427086,132.973525
医王池（蛇越池）の湿地植物,自然景観,観光情報 / スポーツ・レクリエーション,今治市孫兵衛作,https://www.city.imabari.ehime.jp/kanko/spot/?a=137,33.98155794,133.0565548
唐子浜の赤灯台,自然景観,観光情報 / スポーツ・レクリエーション,今治市古国分1丁目4,https://www.city.imabari.ehime.jp/kanko/spot/?a=129,34.0347437,133.0368323
山桃のこみち,自然景観,観光情報 / スポーツ・レクリエーション,今治市波方町宮崎,https://www.city.imabari.ehime.jp/kanko/spot/?a=163,34.11393403,132.9020195
志島ヶ原,自然景観,観光情報 / スポーツ・レクリエーション,今治市桜井6丁目2-1,https://www.city.imabari.ehime.jp/kanko/spot/?a=127,34.01957534,133.0435115
桜井海岸（唐子浜）,自然景観,観光情報 / スポーツ・レクリエーション,今治市古国分1丁目,https://www.city.imabari.ehime.jp/kanko/spot/?a=126,34.03031549,133.0389512
歌仙滝公園,自然景観,観光情報 / スポーツ・レクリエーション,今治市菊間町松尾996番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=172,34.02074187,132.8682817
沖浦ビーチ,自然景観,観光情報 / スポーツ・レクリエーション,今治市伯方木浦甲2407番地4,https://www.city.imabari.ehime.jp/kanko/spot/?a=205,34.19344238,133.1121934
玉川ダム（玉川湖）,自然景観,観光情報 / スポーツ・レクリエーション,今治市玉川町龍岡下丁,https://www.city.imabari.ehime.jp/kanko/spot/?a=154,33.99138676,132.9224934
生樹の御門,自然景観,観光情報 / スポーツ・レクリエーション,今治市大三島町宮浦,https://www.city.imabari.ehime.jp/kanko/spot/?a=239,34.2478454,133.0084621
