名称,テーマ,分類,所在地,リンク,緯度,経度
今治市菊間公民館,公民館,公共施設,今治市菊間町浜840番地,https://www.city.imabari.ehime.jp/sgakusyuu/kominkan/,34.03395338,132.8420237
今治市近見公民館,公民館,公共施設,今治市湊町1丁目1番39号,https://www.city.imabari.ehime.jp/sgakusyuu/kominkan/,34.08604712,132.9895773
今治市関前開発総合センター,公民館,公共施設,今治市関前岡村甲2番地第5,https://www.city.imabari.ehime.jp/sgakusyuu/kominkan/,34.18433335,132.8859523
今治市鳥生公民館,公民館,公共施設,今治市土橋町1丁目8番42号,https://www.city.imabari.ehime.jp/sgakusyuu/kominkan/,34.04912518,133.0038991
今治市立中央図書館,図書館,文化施設,今治市常盤町5丁目203番地2,http://www.library.imabari.ehime.jp/,34.06169247,132.9944226
今治市立大三島図書館,図書館,文化施設,今治市大三島町宮浦5713番地,http://www.library.imabari.ehime.jp/,34.24864552,132.9950358
今治市立大西図書館,図書館,文化施設,今治市大西町宮脇甲506番地の1,http://www.library.imabari.ehime.jp/,34.06043269,132.9249795
今治市立波方図書館,図書館,文化施設,今治市波方町樋口甲72番地1,http://www.library.imabari.ehime.jp/,34.09794932,132.9529748
あばらこ墓地,墓地・斎場,公共施設,今治市菊間町浜1544番地,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.04224073,132.8518848
ふじさき苑,墓地・斎場,公共施設,今治市吉海町仁江3217番地,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.14656107,133.0475546
伯方斎場,墓地・斎場,公共施設,今治市伯方町木浦乙1003番地2,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.203935,133.1069466
大下火葬場,墓地・斎場,公共施設,今治市関前大下甲779番地,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.18490575,132.9261229
大翔苑,墓地・斎場,公共施設,今治市大三島町宮浦1609番地,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.25689567,133.0176591
大谷墓園墓地,墓地・斎場,公共施設,今治市山方町1丁目甲1253番地,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.0647424,132.9791775
大谷墓地,墓地・斎場,公共施設,今治市山方町1丁目甲1198番地3,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.06377512,132.9842136
天王墓地,墓地・斎場,公共施設,今治市宮窪町宮窪2217番地外,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.17016135,133.0776732
小大下火葬場,墓地・斎場,公共施設,今治市関前小大下乙1385番地,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.18933575,132.8967501
岡墓地,墓地・斎場,公共施設,今治市朝倉下甲861番地,https://www.city.imabari.ehime.jp/kankyou/bochi/,33.99965721,133.0084456
岡村火葬場,墓地・斎場,公共施設,今治市関前岡村甲1013番地3,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.18018142,132.8814457
新別所墓地,墓地・斎場,公共施設,今治市玉川町別所甲317番地の3,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.02607672,132.9735684
新堂地墓地,墓地・斎場,公共施設,今治市高地町2丁目甲1846番地1,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.07356796,132.9847182
朝日ヶ丘墓地,墓地・斎場,公共施設,今治市朝倉上甲2092番地1,https://www.city.imabari.ehime.jp/kankyou/bochi/,33.97950716,133.0200369
樋口墓地,墓地・斎場,公共施設,今治市波方町樋口乙372番地,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.09527899,132.9409199
燧風苑,墓地・斎場,公共施設,今治市山方町1丁目乙45番地,https://www.city.imabari.ehime.jp/kankyou/bochi/kasoba.html,34.06556769,132.9802573
紺原墓地,墓地・斎場,公共施設,今治市大西町紺原 甲605番地1,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.06313392,132.9379516
薬師墓地,墓地・斎場,公共施設,今治市宮窪町宮窪6122番地1,https://www.city.imabari.ehime.jp/kankyou/bochi/,34.1783913,133.0750344
上浦認定こども園,子育て支援施設,公共施設,今治市上浦町井口5931番地1,https://www.city.imabari.ehime.jp/hoiku/,34.26349276,133.0379316
乃万保育所,子育て支援施設,公共施設,今治市延喜甲365番地2,https://www.city.imabari.ehime.jp/hoiku/,34.06345131,132.9572158
九和保育所,子育て支援施設,公共施設,今治市玉川町大野甲86番地3,https://www.city.imabari.ehime.jp/hoiku/,34.02113964,132.9441086
亀岡保育所,子育て支援施設,公共施設,今治市菊間町佐方490番地,https://www.city.imabari.ehime.jp/hoiku/,34.05470138,132.8749523
亀岡児童館,子育て支援施設,公共施設,今治市菊間町佐方428番地,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.05673805,132.8741137
伯方児童館,子育て支援施設,公共施設,今治市伯方町有津甲3番地1,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,34.20269617,133.1036516
伯方認定こども園,子育て支援施設,公共施設,今治市伯方町木浦甲1200番地1,https://www.city.imabari.ehime.jp/hoiku/,34.20584588,133.1121508
吉海認定こども園,子育て支援施設,公共施設,今治市吉海町八幡56番地,https://www.city.imabari.ehime.jp/hoiku/,34.14693633,133.0451922
城東保育所,子育て支援施設,公共施設,今治市美須賀町4丁目1番48号,https://www.city.imabari.ehime.jp/hoiku/,34.05942194,133.0116062
大三島認定こども園,子育て支援施設,公共施設,今治市大三島町明日2493番地1,https://www.city.imabari.ehime.jp/hoiku/,34.25145539,132.9972359
宮窪認定こども園,子育て支援施設,公共施設,今治市宮窪町宮窪2901番地,https://www.city.imabari.ehime.jp/hoiku/,34.17110939,133.0751717
富田保育所,子育て支援施設,公共施設,今治市上徳乙287番地7,https://www.city.imabari.ehime.jp/hoiku/,34.03276534,133.0125156
常盤保育所,子育て支援施設,公共施設,今治市南日吉町2丁目2番8号,https://www.city.imabari.ehime.jp/hoiku/,34.05746263,132.9931332
日の出保育所,子育て支援施設,公共施設,今治市玉川町小鴨部甲230番地2,https://www.city.imabari.ehime.jp/hoiku/,34.0265412,132.9643976
日高保育所,子育て支援施設,公共施設,今治市別名549番地1,https://www.city.imabari.ehime.jp/hoiku/,34.04615131,132.9752303
朝倉児童館,子育て支援施設,公共施設,今治市朝倉下甲529番地,https://www.city.imabari.ehime.jp/kodomo/jidoukan/,33.99932473,133.0166696
