投票区,投票所施設,所在地,URL,緯度,経度,区域
32,日の出保育所,今治市玉川町小鴨部甲230番地1,https://www.city.imabari.ehime.jp/map/map/52-dai32touhyouku.html,34.02656279,132.9643991,玉川町中村甲789番地1・甲790番地5・甲815番地3・甲815番地7～815番地8・甲820番地1・甲841番地1・甲841番地4、同小鴨部（第31投票区の区域を除く）、同別所、同八幡
33,旧玉川鈍川体育館,今治市玉川町鈍川丙226番地,https://www.city.imabari.ehime.jp/map/map/53-dai33touhyouku.html,33.98673327,132.9572671,玉川町鈍川、同木地
34,龍岡中通集会所,今治市玉川町龍岡上甲96番地3,https://www.city.imabari.ehime.jp/map/map/54-dai34touhyouku.html,33.98915618,132.9110009,玉川町龍岡下、同龍岡上、同葛谷
35,波方公民館,今治市波方町樋口甲250番地,https://www.city.imabari.ehime.jp/map/map/55-dai35touhyouku.html,34.09781973,132.9522123,杣田、波方町樋口、同養老
36,波方地区集会所,今治市波方町波方甲2265番地2,https://www.city.imabari.ehime.jp/map/map/56-dai36touhyouku.html,34.1218193,132.955604,波方町波方
37,小部老人福祉センター,今治市波方町小部甲832番地2,https://www.city.imabari.ehime.jp/map/map/57-dai37touhyouku.html,34.10694412,132.9289963,波方町小部、同岡、同馬刀潟、同宮﨑
38,旧西森老人福祉センター,今治市波方町西浦甲3581番地2,https://www.city.imabari.ehime.jp/map/map/58-dai38touhyouku.html,34.12516799,132.9330466,波方町西浦、同森上
39,大西公民館,今治市大西町宮脇甲506番地1,https://www.city.imabari.ehime.jp/map/map/59-dai39touhyouku.html,34.06049866,132.9250554,大西町脇、同宮脇、同大井浜、同新町（第40投票区の区域を除く）、同九王甲622番地1・甲2034番地1・甲2256番地31・甲2411番地3・甲2413番地・甲2414番地・甲2416番地1・甲2436番地3・甲2456番地・甲2464番地・甲2466番地2・甲2547番地4・甲2572番地・甲2576番地・甲2579番地・甲2596番地、同紺原（第40投票区の区域を除く）、同山之内、同星浦、同別府
40,九王集会所,今治市大西町九王甲1427番地,https://www.city.imabari.ehime.jp/map/map/60-dai40touhyouku.html,34.07846112,132.9292154,大西町新町甲827番地・甲831番地～甲832番地30・甲836番地～甲844番地9・甲1032番地1～甲1036番地1・甲1037番地～甲1049番地6・甲1055番地・同紺原甲45番地4～甲45番地9・甲1223番地1・甲1283番地・甲1291番地4～甲1334番地・甲1359番地・乙69番地1・乙69番地9・乙74番地1、大西町九王（第39投票区の区域を除く）
41,菊間公民館,今治市菊間町浜840番地,https://www.city.imabari.ehime.jp/map/map/62-dai41touhyouku.html,34.03408545,132.8421979,菊間町浜1番地～917番地1・1091番地1・1210番地1・3088番地～3413番地、同田之尻
42,菊間小学校屋内運動場,今治市菊間町長坂2000番地1,https://www.city.imabari.ehime.jp/map/map/63-dai42touhyouku.html,34.03296724,132.8453295,菊間町長坂、同浜920番地～1494番地・1787番地～3049番地、同西山
43,旧歌仙地域住民学習センター,今治市菊間町高田27番地1,https://www.city.imabari.ehime.jp/map/map/64-dai43touhyouku.html,34.02932794,132.8548425,菊間町池原1番地～1226番地、同高田、同松尾、同河之内、同川上、同中川
44,太陽石油 四国研修センター,今治市菊間町佐方2135番地1,https://www.city.imabari.ehime.jp/map/map/65-dai44touhyouku.html,34.05387405,132.8748034,菊間町浜1504番地～1518番地、同池原3001番地～3417番地9、同種、同佐方
45,吉海学習交流館,今治市吉海町八幡137番地,https://www.city.imabari.ehime.jp/map/map/66-dai45touhyouku.html,34.1457653,133.0431504,吉海町八幡（第48投票区の区域を除く）、同幸新田、同本庄、同仁江、同福田、同名840番地～845番地2、同津島
46,泊集会所,今治市吉海町泊498番地1,https://www.city.imabari.ehime.jp/map/map/67-dai46touhyouku.html,34.17311085,133.0319198,吉海町泊、同田浦
47,椋名集会所,今治市吉海町椋名378番地,https://www.city.imabari.ehime.jp/map/map/68-dai47touhyouku.html,34.13863172,133.0221959,吉海町椋名
48,亀山集会所,今治市吉海町名3043番地,https://www.city.imabari.ehime.jp/map/map/69-dai48touhyouku.html,34.13222963,133.0388929,吉海町名（第45投票区の区域を除く）、同臥間、同名駒、同正味、同八幡648番地1～654番地、同南浦
49,宮窪公民館,今治市宮窪町宮窪2669番地,https://www.city.imabari.ehime.jp/map/map/71-dai49touhyouku.html,34.17308338,133.076025,宮窪町宮窪
50,友浦集会所,今治市宮窪町友浦1452番地1,https://www.city.imabari.ehime.jp/map/map/72-dai50touhyouku.html,34.15432792,133.0844517,宮窪町友浦
51,余所国集会所,今治市宮窪町余所国596番地,https://www.city.imabari.ehime.jp/map/map/75-dai51touhyouku.html,34.19026252,133.0618417,宮窪町余所国、同早川
52,しまなみ交流プラザ,今治市伯方町木浦甲1200番地1,https://www.city.imabari.ehime.jp/map/map/76-dai52touhyouku.html,34.20522967,133.1126596,伯方町木浦
53,有津浜集会所,今治市伯方町有津甲2343番地,https://www.city.imabari.ehime.jp/map/map/81-dai53touhyouku.html,34.20456256,133.0951223,伯方町有津
54,旧西伯方地域住民学習センター,今治市伯方町叶浦甲1666番地5,https://www.city.imabari.ehime.jp/map/map/83-dai54touhyouku.html,34.20689646,133.0738503,伯方町叶浦、同伊方
55,伯方農村環境改善センター,今治市伯方町北浦甲2178番地,https://www.city.imabari.ehime.jp/map/map/84-dai55touhyouku.html,34.22632128,133.0948571,伯方町北浦
56,瀬戸部落第２集会所,今治市上浦町瀬戸3969番地2,https://www.city.imabari.ehime.jp/map/map/85-dai56touhyouku.html,34.22397229,133.0556515,上浦町瀬戸（第57投票区の区域を除く）
57,旧上浦保健センター,今治市上浦町甘崎3878番地1,https://www.city.imabari.ehime.jp/map/map/86-dai57touhyouku.html,34.2358545,133.0523359,上浦町瀬戸（オフロ、スバナ、瀬戸15番地・247番地2、288番地）、同甘崎
58,上浦開発総合センター,今治市上浦町井口5931番地1,https://www.city.imabari.ehime.jp/map/map/87-dai58touhyouku.html,34.26340448,133.037477,上浦町井口
59,旧上浦盛研修センター,今治市上浦町盛2642番地,https://www.city.imabari.ehime.jp/map/map/89-dai59touhyouku.html,34.2912003,133.0258842,上浦町盛
60,肥海集会所,今治市大三島町肥海3781番地,https://www.city.imabari.ehime.jp/map/map/90-dai60touhyouku.html,34.27472242,132.9993542,大三島町肥海
61,大三島公民館,今治市大三島町宮浦甲5708番地,https://www.city.imabari.ehime.jp/map/map/92-dai61touhyouku.html,34.24891886,132.995265,大三島町大見、同明日、同宮浦、同台
62,野々江地区館,今治市大三島町野々江1892番地,https://www.city.imabari.ehime.jp/map/map/93-dai62touhyouku.html,34.21630923,132.9866823,大三島町野々江
63,浦戸集会所,今治市大三島町浦戸873番地,https://www.city.imabari.ehime.jp/map/map/94-dai63touhyouku.html,34.21849217,132.9617495,大三島町口総、同浦戸
64,宗方集会所,今治市大三島町宗方1532番地1,https://www.city.imabari.ehime.jp/map/map/95-dai64touhyouku.html,34.2050301,132.9556686,大三島町宗方
65,岡村集会所,今治市関前岡村甲738番地9,https://www.city.imabari.ehime.jp/map/map/96-dai65touhyouku.html,34.1836543,132.8828838,関前岡村、同小大下、同大下
